"HolderAddress","Balance","PendingBalanceUpdate"
"0x88e646ff78c76f7245017b97fa8b9941d4f11e03","7.640612684E-09","No"
"0x353744437187314b1c1e9f028b29d68c6b62c8dd","438","No"
"0x0e50951d687a830ac07fecd4ea1311bf428d0674","50","No"
"0xec198a9f30b3bfae0f928054a2258a4e258a8534","583","No"
"0x7e945413661684e595e6c4185079de8d4da06174","5692","No"
"0x20288462afc7ab4dc640526731f508105feb9b6c","0.0120071740796528","No"
"0x8fe59a59ab124b51af71c4a52b8abd443f1ddc00","5253","No"
"0xaaa8a090e78724c8e3f3de407205fff160017568","576","No"
"0xa2f10f7b8e3f82e2025b3fac0ecf813e4df6123f","1.2700636756546E-05","No"
"0x6f6330bd290727c9323aaf8148b6cff78697a008","0.17650457527397","No"
"0x567ada7d2ba23482f6c1e442e3a95c7c7a0763b9","2647","No"
"0x8e9196e2ca9748bda9b7aabd766911a04ca2f9c6","1","No"
"0xe24970696cf41bd85097eb6f2f88fd79b583ee20","816","No"
"0xa451ddc9d0fb8a6b9109d08c416342bec9949951","1947","No"
"0x0713b07139e14850110dc5cf0cdd84f96546671e","0.0207119695290882","No"
"0x0ec6f7a6b489585c026427fcb6ab9667f882c784","4","No"
"0xd5321f74772a5320a3912b26a34f50fcde4409d5","0.000663102228370014","No"
"0x0345826504af0482f80cfeeee6ccb1189207b1bd","73.9997764940512","No"
"0x4be9ac80ef61dcb1517121d6cfd4b5b78ef68e1c","555","No"
"0xa8249bd4f1b5156dba1b1ddeaad13585b49f85e1","57","No"
"0x274e50644965d5834fda19b23f6a8e24c2ed69a5","0.000429466442656512","No"
"0x6692bf5941d6d9c48b92843133135d8ce1111666","50.1090083550256","No"
"0xe299d3f7cb203b3cb7ee33a814dd1aae1987a157","10000","No"
"0xa2da490a5752fe6c1f02b4124c009c9fc83d0172","1680","No"
"0xf067a6b8738413f1a64571ae8b1ae27b5ac52874","2832","No"
"0x5da23064217ecc6d0688c64f8103f677ebd892f7","4561","No"
"0x5c15a0352a92576852019e7030fe14e454a9e3b5","0.639033198735605","No"
"0x3b3e09a7e552f6fe82b95a36b2ec601b02015e52","1124","No"
"0xb1472de41ac1063a06aef0b16e95a3b99c1cb87b","0.944148372902087","No"
"0x24435205eaf97df22b6f2a2463ba039497596ba4","591.297942043727","No"
"0xfe604840545758115f7645b08c4889ed23939d36","100","No"
"0x412b9a906b489ce6d5a72211b34bcd5aa1d99cb6","5.76447288225566","No"
"0x7a013b7a1347162ac689489b6ec21ca3a94087be","292.932842449169","No"
"0x6ce4ee8a0993780ddf785e7e476c69a6a9c1cb6e","100","No"
"0x1505fa50485b5fefb4057d72fce1b54c348e896c","89000","No"
"0xcad47d01440fa387402d2ab8baf493a5f3d15b06","1296","No"
"0x99bb4587e39709dddb1b3d5738af8743b196b2c6","776","No"
"0x453caafaa5f852cd432b6ab65af09050a26e4a92","10","No"
"0x64bb4af389115b42d97d88e32f96b372e60d8fc3","0.154373385688433","No"
"0x4824c055c0c960fc79071f37b245a6cabafa749b","346","No"
"0xd8a403f9049f1741e2f516255149361e4c6501fd","600","No"
"0xf7e917702b1c15532bc3def14c72b13263080b83","684","No"
"0x04185cc65b98c5e6969c7bfd109eb0ab9d917896","5096","No"
"0xd6f9d5fb543a736fdee2eea89c23ef38bb6cf531","57.4163160711944","No"
"0x63e500f857fdd1ec647a9cbe39c65417aa899ca1","342","No"
"0x7523abc51330a0bdfb94da575fefc3ae85f27f65","775","No"
"0xea3dc47715717654d9ee002e4dc40a8bddb0a114","3045","No"
"0x1cf0e7875e180304bc125e7b726843ef242a8ca0","58917","No"
"0x9062e4ae2d123cfa15dd2107fb7b94fdc5fb3516","1104","No"
"0xa0f6425fc5c192cf6c745ec6f955dabc3d982606","829","No"
"0xbd99e84148d84caa20055a881c3c464a662497d7","1419","No"
"0x6ffea2c78f03c6a7daba6420d6171741deaca89c","112.187650848854","No"
"0x4ef9a108cb9df3995a57ed0a58d48d19c194491f","2990","No"
"0xb2675adc527f72167a1334405603de546370e03d","10","No"
"0x65d8dbd51d95395a743efbdc214518d3e45685b7","34.1951420941462","No"
"0x0264ba8768ddb7096fb4ca628353758190cacecc","117","No"
"0xc237960530b4d4ee9bfe3721df1b0f51140d00ea","0.625576890419411","No"
"0x87d3a25c91be6bb98499232c8c8b8fbd4292c0c7","850","No"
"0xe8cb2efa6ef613df98f86b2fe46a72da6be7e712","617","No"
"0xc345f0e17a414cb9782bacdc190cf85f48b73c87","1358","No"
"0x194bf64d1daa605029fdc230ea07a62686757b02","5555","No"
"0x9807a601a90db8ef65ce528fba8666b6d5c52407","2218.58","No"
"0xe25793b386397da6096e6c079e4c8fff5451eb89","1480","No"
"0xcbb64ef0f8b05f43f582f5131d4b2f0d8acae91c","23766","No"
"0x5620556dfb7b7987a21b1cf894ed8dc8b990c42d","4561","No"
"0x77f319777a8eaed66da17d871dfe252d36087263","35121","No"
"0xdd78a3a75fdd8ff0fabcd9f4fea92c61d1edc0b8","8347","No"
"0xc9f8451328c808ac8f40944a9c0aef0be7c6987e","1","No"
"0xd62d4993cbeb7738dc6bd6a7ea0007d1b34822f9","10","No"
"0x7493d57730263553996e627677dee9723d68ae70","2585","No"
"0x5acf8c9c2a26327bfdc18b51bdc5c93940845c99","2037","No"
"0x7748d8362c990862a04d212cf81bb20a5b5d1420","10000","No"
"0x8024e5cc38d7ebd6fd7334e4d23394b45873b63b","2496","No"
"0x9ba3f10d7fb531ec53f48c658ab49646430bb30c","5514","No"
"0x990c18a9572dd9d6ea0c15b43c8b42f6cb731a6b","1742","No"
"0xee9ecdf85ff8ddc43377668bc57e6dd618c06275","127","No"
"0xd5032ec6c0768f48fb3cd201c70956c8c1031eb1","53113","No"
"0x7763d4ce482c35b59aa0fc48ae2eabd00f60b82e","821.007160691776","No"
"0x57033061088b008d7109c69d718e5f174a728316","10","No"
"0x9c5363ff034d45a4a93df1745db43557944c6c1f","3155","No"
"0x7480788e32bbc8fece0e8b5580f709dc3cefe319","100.40877882","No"
"0xf7cbc909f845e249f0fb13a71dd960986b51bbad","0.000688424058463098","No"
"0xdd853a23566b10d13cfa8842aecfc39b4c71033b","1008","No"
"0xedec4161e500d8afce430a08d5001dc2a8ec4129","219.222626021843","No"
"0xbc455c2576caebbc3702dc115e8a4e754fb9588d","1830","No"
"0x4c026d5d6a7fe1b2e2b28b916ef2016f6058f7b4","35.437223721904","No"
"0x5dcb5b224db81a4d7308240a90494bc4a18182cb","0.250057717942991","No"
"0x459f3959b19cfcbb49e2585d529c5afe78958a88","25","No"
"0x23f92cc70a7a05dcd64fd41b1dc63eb80dafe9d4","1657","No"
"0xd4771f95eb755dc182655dbf279780b6c0cd9703","4375","No"
"0xf14411a6e0626a9aec8507b82b8ab997cdcc1e1f","0.0911191432090036","No"
"0xa6217c7795bb023bec75fa5b9ac87668aaf7cc47","1570","No"
"0xe3aead998a0a73363248108e846e95658e84258d","1042","No"
"0xfad71af28ed796195327d754b92a95e3975cd1a4","1083","No"
"0xf1e634083ea8b7f6f2d0464bdf91189c70a51a85","493","No"
"0x232151c5991b8d2d6907442483fbf92f9b0cfecf","1097","No"
"0x8f8f30a32a7373eec48849780e59b3649d02a99a","51551","No"
"0x518f67347c180f9e748e22bc13be7b1bcae72871","3978","No"
"0xc2506ba3c658bbb08115aa5e2e43b6235e74120b","70.8670106170763","No"
"0x0449378942c77e14dfab5668b65008f45406a2c8","200","No"
"0x6a418c90cb189d1ff906d9de4ac749b9ee187259","48684","No"
"0x301219ed705b89716af1b80ca3356172aa867c6e","516.43705682942","No"
"0xf5459c8a8773751adbae425ecd65cbc005370776","39.9325511394725","No"
"0x7ac0ba405b7cb03fbd6cfa7ca7f0ae43419cdd18","0.00220793917820373","No"
"0x9ae9c8aff807865491a9a9c0f383b1215aa9677c","5.82953887002771","No"
"0x6c3bb8ec50601715e920541fcd97f901ad2cb23f","1326","No"
"0x0cc70dc29c9977f73baf2ffe12ed88f6dad8c4c6","23.0798606053435","No"
"0x1e78dd5fbaa26070b41394bf0171c651c9794f3c","8","No"
"0xc8aeeebe227cb449d51031f2c07244ade5d08beb","374.206521845911","No"
"0x345a736d80188161c78634ba6b9e9968ca4bb36b","0.0479955204659609","No"
"0x8e8f795b23c6674ec8bf27a03d540a9bf2ff2c06","2860","No"
"0x13ccf1d09bac91ed7fc51a9e6214ef19e3ffa6e1","404","No"
"0x38bab4d81f6f2a0085d83f5a0bff51a2fdf0d94b","562","No"
"0x9a3c84472d7e023d76218137d7ae0d4fdba81476","103.658211720644","No"
"0x0b3a50240132911769a5ecb5cc60f8a4f23d7357","10","No"
"0x77a94204911a3bf15722af4c67dea305fec78071","1399","No"
"0x433ae2e846f6bdda120b4847591d60be31c2b1a1","1.52192624642439","No"
"0x03ecc520b1d4bbc39cc57da8300a1af5d8be6062","5.86918007E-09","No"
"0x1d2816e26de94e3add96f3cb61c7871f73881541","1","No"
"0xecfbcf1a40b751755e79e96ff9cae7282831a823","3.429068468347E-06","No"
"0x2dd344de08db08e8003789dcd88999f24731b597","13676","No"
"0x044069a50e96065b9efc6693ed13c3683d136632","7.97531562866635","No"
"0xae98bac592bb07c68d314c8b7a721ad0ce5b1dac","2.63697239086308","No"
"0xa8ce71a5544bb84974fd408daf26d84b879cf20a","5.8343914795879E-05","No"
"0xd2e38c3d106aeaa0d39c9bc3c8e0b5261c984098","104","No"
"0xc6a6bea212037f90645722eb0dc706b9edefce3e","3","No"
"0x697abb7a97bd00267b0e9661e2c1a72fdffb2604","1.520900325672E-06","No"
"0x1ba7d11c67a8185712e7c4cd208a046a9dbc0a05","3113","No"
"0x7d39ec6d0816a42cea117002c3a5a97a262f0e3d","70.536084750383","No"
"0xe318f10e353c7efc3e73bf63c7aac92425d99790","1303","No"
"0x752cbd4ec588b35c36329ab77074f2c974cfd9f4","1","No"
"0x905a9b6df01a15ad27b7e4bb62d3249baffd7307","65.0971567969833","No"
"0xf01ac89eaa822f97b8d8f8bdb756c3db8df99145","250.280624141828","No"
"0xba9681c70f956c3facb2192d0673baf7a3e14f07","5212.93551599782","No"
"0x68d9c4c8900ffe15edc638b884a4f1caa84f5710","1316","No"
"0x73d52bf205839bb5b090ad68d8691a2462492bf1","11.3461167947985","No"
"0x87db6d0f21653b33584cec366ef180fe5fea80f8","18292","No"
"0xcbe698c0b7dcf08aa7788e131acad62f0621697e","4520","No"
"0xb4a29928fca1f3d59cbddc6e47f1c8fe217b9f89","2496","No"
"0x42e885d26dba038faafa08d4585d7650ad6d7adf","500","No"
"0xb848153f1eb63458e4ccebfd92b48834a8eafb87","28","No"
"0x0df566852c7db8d59c20a58c7ef9f446f2f73607","0.999999582554896","No"
"0xa00df4de9df0ff3f8fe21d1af9163a1e57572544","637","No"
"0x67459057e2dc58d2e8676d0ea0af450041ea24c1","131.304798140898","No"
"0x153759b380ae5a746ebf644931d98c64410c0a27","5","No"
"0x79cfb1f80bab6f27871345dc823e9c1229d243e4","18.2304","No"
"0x692e99527046af6ed2ef28828326193bb4c03d42","5850","No"
"0xe2e369a753ac91c06d746ea1a962bc8f6fa136fc","100","No"
